Step,Symbol,Timeframe,Net Profit (USD),Net Profit Long (USD),Net Profit Short (USD),% Profitable,% Profitable Long,% Profitable Short,Profit Factor,Profit Factor Long,Profit Factor Short,Max Drawdown (USD),Buy & Hold Return (USD),Total Closed Trades,Total Closed Trades Long,Total Closed Trades Short,Total Open Trades,Total Open Trades Long,Total Open Trades Short,Avg Trade (USD),Avg Trade Long (USD),Avg Trade Short (USD),Avg Winning Trade (USD),Avg Winning Trade Long (USD),Avg Winning Trade Short (USD),Avg Losing Trade (USD),Avg Losing Trade Long (USD),Avg Losing Trade Short (USD),Largest Winning Trade (USD),Largest Winning Trade Long (USD),Largest Winning Trade Short (USD),Largest Losing Trade (USD),Largest Losing Trade Long (USD),Largest Losing Trade Short (USD),Left Bars,Right Bars,Enable Long Entry,Enable Short Entry,Entry Type,Trigger Distance (ticks),Stop Loss (ticks),Take Profit (ticks),Trade Cutoff Time (ET),Enable Long Breakout,Enable Short Breakout,Breakout Entry Type,Breakout Trigger Distance (ticks),Breakout Stop Loss (ticks),Breakout Take Profit (ticks),Breakout Left Bars,Breakout Right Bars
1647,CME_MINI:MNQ1!,5,"1,255.00",608,647,38.1,38.24,37.93,1.53,1.47,1.61,367,"191,850.00",63,34,29,0,0,0,19.92,17.88,22.31,151,147.08,155.64,60.74,62.1,59.17,160,160,160,109.5,109.5,61,45,70,Close,100,80,320,,,,,,,,,,,
1534,CME_MINI:MNQ1!,5,"1,129.50",602,527.5,36.76,36.84,36.67,1.44,1.41,1.48,367,"191,850.00",68,38,30,0,0,0,16.61,15.84,17.58,148.72,148.82,148.59,60.2,61.73,58.26,160,160,160,109.5,109.5,61,30,70,Close,90,80,320,,,,,,,,,,,
1644,CME_MINI:MNQ1!,5,"1,129.50",602,527.5,36.76,36.84,36.67,1.44,1.41,1.48,367,"191,850.00",68,38,30,0,0,0,16.61,15.84,17.58,148.72,148.82,148.59,60.2,61.73,58.26,160,160,160,109.5,109.5,61,30,70,Close,100,80,320,,,,,,,,,,,
30,CME_MINI:MNQ1!,5,590,600,-10,27.96,30.19,25,1.19,1.35,0.99,519.5,"191,850.00",93,53,40,0,0,0,6.34,11.32,-0.25,145,145,145,48.18,46.49,50.34,160,160,160,60,60,60,45,40,Touch,80,80,260,,,,,,,,,,,
34,CME_MINI:MNQ1!,5,70,600,-530,24.14,29.63,19.35,1.02,1.36,0.76,529,"191,850.00",116,54,62,0,0,0,0.6,11.11,-8.55,141.79,141.25,142.5,44.83,43.68,45.71,160,160,160,60,60,60,10,55,Touch,80,80,260,,,,,,,,,,,
164,CME_MINI:MNQ1!,5,850,600,250,31.75,32.43,30.77,1.38,1.48,1.25,449.5,"191,850.00",63,37,26,0,0,0,13.49,16.22,9.62,155.5,155,156.25,53.81,50.4,58.82,160,160,160,60,60,60,55,70,Touch,90,80,260,,,,,,,,,,,
274,CME_MINI:MNQ1!,5,850,600,250,31.75,32.43,30.77,1.38,1.48,1.25,449.5,"191,850.00",63,37,26,0,0,0,13.49,16.22,9.62,155.5,155,156.25,53.81,50.4,58.82,160,160,160,60,60,60,55,70,Touch,100,80,260,,,,,,,,,,,
380,CME_MINI:MNQ1!,5,700,600,100,30.43,32.5,27.59,1.28,1.44,1.09,399.5,"191,850.00",69,40,29,0,0,0,10.14,15,3.45,151.43,150.77,152.5,52.77,50.37,56,160,160,160,60,60,60,35,70,Touch,110,80,260,,,,,,,,,,,
479,CME_MINI:MNQ1!,5,750,600,150,33.33,35.29,30.77,1.21,1.3,1.1,829.5,"191,850.00",90,51,39,0,0,0,8.33,11.76,3.85,143,143.33,142.5,60,60,60,160,160,160,60,60,60,35,55,Touch,80,120,260,,,,,,,,,,,
483,CME_MINI:MNQ1!,5,700,600,100,32.89,35.71,29.41,1.23,1.37,1.07,709.5,"191,850.00",76,42,34,0,0,0,9.21,14.29,2.94,148,148,148,60,60,60,160,160,160,60,60,60,55,55,Touch,80,120,260,,,,,,,,,,,
588,CME_MINI:MNQ1!,5,440,600,-160,31.52,35.29,26.83,1.12,1.3,0.91,829.5,"191,850.00",92,51,41,0,0,0,4.78,11.76,-3.9,143.45,143.33,143.64,60,60,60,160,160,160,60,60,60,30,55,Touch,90,120,260,,,,,,,,,,,
919,CME_MINI:MNQ1!,5,950,600,350,37.78,39.22,35.9,1.25,1.27,1.22,799.5,"191,850.00",90,51,39,0,0,0,10.56,11.76,8.97,141.47,142,140.71,70.18,72.26,67.5,160,160,160,80,80,80,35,55,Touch,80,160,260,,,,,,,,,,,
1028,CME_MINI:MNQ1!,5,580,600,-20,35.87,39.22,31.71,1.14,1.27,0.99,869.5,"191,850.00",92,51,41,0,0,0,6.3,11.76,-0.49,141.82,142,141.54,70.69,72.26,68.89,160,160,160,80,80,80,30,55,Touch,90,160,260,,,,,,,,,,,
1113,CME_MINI:MNQ1!,5,160,600,-440,35.61,39.71,31.25,1.03,1.19,0.86,"1,237.00","191,850.00",132,68,64,0,0,0,1.21,8.82,-6.88,137.02,137.78,136,74.76,76.1,73.49,160,160,160,80,80,80,15,25,Touch,100,160,260,,,,,,,,,,,
1126,CME_MINI:MNQ1!,5,20,600,-580,34.29,39.66,27.66,1,1.23,0.75,868.5,"191,850.00",105,58,47,0,0,0,0.19,10.34,-12.34,138.33,139.13,136.92,72.94,74.29,71.52,160,160,160,80,80,80,25,40,Touch,100,160,260,,,,,,,,,,,
1215,CME_MINI:MNQ1!,5,110,600,-490,34.23,39.62,29.31,1.02,1.26,0.83,"1,402.00","191,850.00",111,53,58,0,0,0,0.99,11.32,-8.45,141.84,140,144.12,73.33,73.13,73.5,160,160,160,80,80,80,30,10,Touch,110,160,260,,,,,,,,,,,
1345,CME_MINI:MNQ1!,5,-160,600,-760,21.05,26.23,15.09,0.96,1.31,0.63,705,"191,850.00",114,61,53,0,0,0,-1.4,9.84,-14.34,160,160,160,44.94,43.56,46.36,160,160,160,60,60,60,20,40,Touch,80,80,320,,,,,,,,,,,
1661,CME_MINI:MNQ1!,5,320,600,-280,24,28.89,20,1.09,1.41,0.86,520,"191,850.00",100,45,55,0,0,0,3.2,13.33,-5.09,160,160,160,46.93,46.25,47.44,160,160,160,60,60,60,60,10,Touch,110,80,320,,,,,,,,,,,
1759,CME_MINI:MNQ1!,5,"1,024.00",597.5,426.5,36.21,37.5,34.62,1.46,1.48,1.42,507,"191,850.00",58,32,26,0,0,0,17.66,18.67,16.4,155.31,152.58,158.94,60.47,61.68,59.06,160,160,160,109.5,109.5,60,55,70,Close,110,80,320,,,,,,,,,,,
1760,CME_MINI:MNQ1!,5,"1,024.00",597.5,426.5,36.21,37.5,34.62,1.46,1.48,1.42,507,"191,850.00",58,32,26,0,0,0,17.66,18.67,16.4,155.31,152.58,158.94,60.47,61.68,59.06,160,160,160,109.5,109.5,60,60,70,Close,110,80,320,,,,,,,,,,,
1863,CME_MINI:MNQ1!,5,"1,077.00",594.5,482.5,38.03,39.47,36.36,1.37,1.36,1.37,504,"191,850.00",71,38,33,0,0,0,15.17,15.64,14.62,148.93,148.87,149,66.91,71.24,62.17,160,160,160,129.5,129.5,81,25,70,Close,80,120,320,,,,,,,,,,,
1756,CME_MINI:MNQ1!,5,"1,320.50",591,729.5,38.71,37.5,40,1.57,1.48,1.68,427,"191,850.00",62,32,30,0,0,0,21.3,18.47,24.32,150.79,152.04,149.54,60.49,61.68,59.17,160,160,160,109.5,109.5,61,40,70,Close,110,80,320,,,,,,,,,,,
3,CME_MINI:MNQ1!,5,930,590,340,27.91,29.51,26.47,1.22,1.3,1.15,770,"191,850.00",129,61,68,0,0,0,7.21,9.67,5,142.5,141.67,143.33,45.65,45.58,45.71,160,160,160,60,60,60,20,10,Touch,80,80,260,,,,,,,,,,,
